Country,Indicator,latest_value
Afghanistan,"Mothers with newborns receiving maternity benefits, Females",1.7
Afghanistan,"Share of Employment outside the Formal Sector by sex and economic activity (%), Male, Non-agriculture",67.4
Afghanistan,"Share of Employment outside the Formal Sector by age (%), 15-24",81.7
Afghanistan,Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),3.08
Afghanistan,"Share of Employment outside the Formal Sector by age (%), 15 and above",78.7
Afghanistan,"Proportion of population above statutory pensionable age receiving a pension, total",24.7
Afghanistan,CSO participatory environment,-0.65
Afghanistan,"Gross National Income Per Capita, female (2017 PPP$)",395.92
Afghanistan,Proportion of Labour Force with Advanced Education,63.64
Afghanistan,Civil society index,0.25
Afghanistan,"Informal employment by sex and status in employment (thousands), Total, Self-employed",3574.49
Afghanistan,"Gross National Income Per Capita, male (2017 PPP$)",2256.22
Afghanistan,"Informal employment by sex and status in employment (thousands), Total, Not classified",1875.37
Afghanistan,Factionalized Elites Score,8.7
Afghanistan,"Informal employment by sex and status in employment (thousands), Total, Employees",1205.09
Afghanistan,Inequality in income,29.23
Afghanistan,Fragile States Index,7.25
Afghanistan,"Informal employment by sex and status in employment (thousands), Male, Self-employed",2500.9
Afghanistan,Mean household per capita out-of-pocket health spending ($ 2011 PPP),48.61
Afghanistan,"Vulnerable Persons Covered by Social Assistance, percent",5.9
Afghanistan,"Informal employment by sex and status in employment (thousands), Male, Not classified",1230.78
Afghanistan,"Share of Employment outside the Formal Sector by economic activity (%), Non-agriculture",72.4
Afghanistan,"Carbon dioxide emissions production per capita, tonnes",0.31
Afghanistan,Consumption of controlled substance (zero-filled) - Chemical: Hydrochlorofluorocarbons (HCFCs),6.05
Afghanistan,Share of Parliament Seats Held by Women,27.22
Afghanistan,Gross National Income Per Capita (2017 PPP$),1335.21
Afghanistan,Share of female business owners of new LLCs,2.04
Afghanistan,Terrestrial protected areas (% of total land area),3.64
Afghanistan,"Material footprint per capita, tonnes",1.18
Afghanistan,Social Inclusion and Equity Index,1.7
Afghanistan,"Share of Employment outside the Formal Sector by age (%), 25 and above",77.6
Afghanistan,"Inflation, percent change pre-COVID-19 baseline",5.0
Afghanistan,"Urban Population, total",10946834.0
Afghanistan,Basic Waste Management Services in Non-hospital Healthcare Services,23.4
