Title,Category,Published Time,URL
BSW fordert Abschaffung der Zusatzbeiträge für Krankenkassen: Pläne sind nichts als „Utopien“,http://www.merkur.de/wirtschaft,21:12:00,https://www.merkur.de/wirtschaft/bsw-fordert-abschaffung-der-zusatzbeitraege-fuer-krankenkassen-zr-93510009.html
„Ich muss mich verstecken“: Jüdische Menschen in Deutschland haben Angst,https://www.merkur.de/,21:12:00,https://www.merkur.de/politik/ich-muss-mich-verstecken-juedische-menschen-in-deutschland-haben-angst-zr-93510007.html
Kommunen verschicken Grundsteuerbescheide: Was Eigentümer in Bayern jetzt wissen müssen,https://www.merkur.de/,21:21:00,https://www.merkur.de/bayern/neue-grundsteuer-in-bayern-was-eigentuemer-jetzt-wissen-muessen-93510011.html
merkur,XXL-Panne legt Florian Silbereisens „Schlagerchampions“ lahm: Plötzlich geht gar nichts mehr,https://www.merkur.de/,21:22:00,https://www.merkur.de/tv/panne-florian-silbereisen-schlagerchampions-melissa-naschenweng-das-erste-tv-show-berlin-zr-93510013.html
merkur,Hochschwangere Prinzessin Sofia unternimmt kurz vor Geburt emotionale Reise,https://www.merkur.de/pna,20:11:00,https://www.merkur.de/boulevard/hochschwangere-prinzessin-sofia-unternimmt-kurz-vor-geburt-emotionale-reise-zr-93509698.html?trafficsource=pna
sueddeutsche,Tanker-Havarie - Havarierter Öltanker kommt auf Reede vor Sassnitz auf Rügen,https://www.sueddeutsche.de/panorama,20:16:17,https://www.sueddeutsche.de/panorama/tanker-havarie-havarierter-oeltanker-kommt-auf-reede-vor-sassnitz-auf-ruegen-dpa.urn-newsml-dpa-com-20090101-250111-930-341364
sueddeutsche,"Feuerkatastrophe in LA - Feuer in LA: Warnung vor Preiswucher, Betrug und Plündereien",https://www.sueddeutsche.de/panorama,19:59:36,https://www.sueddeutsche.de/panorama/feuerkatastrophe-in-la-feuer-in-la-warnung-vor-preiswucher-betrug-und-pluendereien-dpa.urn-newsml-dpa-com-20090101-250110-930-340919
sueddeutsche,USA vor Regierungswechsel - Biden ehrt Papst mit besonderer Auszeichnung,https://www.sueddeutsche.de/,20:29:03,https://www.sueddeutsche.de/politik/usa-vor-regierungswechsel-biden-ehrt-papst-mit-besonderer-auszeichnung-dpa.urn-newsml-dpa-com-20090101-250111-930-341499
sueddeutsche,Fußball-Bundesliga - Eberl: Vertragsangelegenheiten vor der Crunchtime klären,https://www.sueddeutsche.de/,20:11:36,https://www.sueddeutsche.de/bayern/fussball-bundesliga-eberl-vertragsangelegenheiten-vor-der-crunchtime-klaeren-dpa.urn-newsml-dpa-com-20090101-250111-930-341445
sueddeutsche,Kriminalität - Polizei stoppt bewaffneten Mann mit Warnschuss,https://www.sueddeutsche.de/,20:09:21,https://www.sueddeutsche.de/bayern/kriminalitaet-polizei-stoppt-bewaffneten-mann-mit-warnschuss-dpa.urn-newsml-dpa-com-20090101-250111-930-341496
sueddeutsche,FA Cup - Man City siegt 8:0 - 16-Jähriger debütiert für Liverpool,https://www.sueddeutsche.de/,19:53:19,https://www.sueddeutsche.de/sport/fa-cup-man-city-siegt-8-0-16-jaehriger-debuetiert-fuer-liverpool-dpa.urn-newsml-dpa-com-20090101-250111-930-341489
sueddeutsche,Maul- und Klauenseuche - Klarheit über Virustyp der Maul- und Klauenseuche,https://www.sueddeutsche.de/,19:51:17,https://www.sueddeutsche.de/wirtschaft/maul-und-klauenseuche-klarheit-ueber-virustyp-der-maul-und-klauenseuche-dpa.urn-newsml-dpa-com-20090101-250111-930-340926
sueddeutsche,Deutsche Handballer haben große Probleme im letzten WM-Test,https://www.sueddeutsche.de/sport,20:33:05,https://www.sueddeutsche.de/sport/handball-wm-testspiel-deutschland-brasilien-probleme-gislason-li.3181107
